moment;pid;father_pid;root_pid;system_pid;project;job;job_repository_id;job_version;context;origin;label;count;reference;thresholds
2015-04-03 13:46:49;8yjYmy;8yjYmy;8yjYmy;3076;CHAP_7;Lesson_07_Monitoring;_rTP-sMsiEeSyr_HlBGW7gQ;0.1;Default;vFlowMeter_mainInput;mainInput;56;;
2015-04-03 13:46:49;8yjYmy;8yjYmy;8yjYmy;3076;CHAP_7;Lesson_07_Monitoring;_rTP-sMsiEeSyr_HlBGW7gQ;0.1;Default;vFlowMeter_mainOutput;mainOutput;53;;
